Longitude,Latitude,Count
-0.1379300625168675,51.5134177058694,3
-0.13788303855649509,51.51336139328634,2
-0.13785286884146797,51.51331704242587,1
-0.1378119124532513,51.513262123112646,1
-0.13776678476580206,51.513203970169656,4
-0.1375368999211117,51.51318354550031,2
-0.13820043673630367,51.513359180221684,2
-0.13804495968754768,51.51332802895523,2
-0.13827610852236868,51.51332295131203,3
-0.1382234449424308,51.513426666349524,2
-0.13833699525836124,51.513381182687986,2
-0.13856267118074042,51.513462335900385,1
-0.13842555407664273,51.513215921970996,3
-0.138378403710682,51.5131694420451,1
-0.13833710979458563,51.513116468363684,4
-0.13864541188161097,51.51323960507672,1
-0.13869786509489118,51.51316441449612,1
-0.13792423943728974,51.51317817756867,1
-0.13786487002444406,51.51311119141345,4
-0.13781144206251686,51.51305543099523,3
-0.13876188195073563,51.51344132616313,2
-0.13879879997196456,51.51359241425711,1
-0.13904464414691853,51.51340233176155,2
-0.13896972775718575,51.51337956630955,2
-0.13886338220808184,51.51341077496413,2
-0.13875245449256537,51.51364144615244,1
-0.13880811720639788,51.51369342040291,1
-0.1388559850834314,51.513744868998735,3
-0.13888682389126217,51.51367609357731,1
-0.139239317363135,51.51358964367246,1
-0.13932123192039622,51.513663069728196,1
-0.13931595453154752,51.51350230617806,1
-0.13961591630383066,51.51358256166423,2
-0.1397192695173161,51.51354130959995,2
-0.14007377002492682,51.51329753720197,1
-0.13909397674226134,51.51329051901715,1
-0.13969715150988363,51.513013326883176,1
-0.13932704220040545,51.512964753136664,1
-0.13931734656067596,51.51289324444099,2
-0.13918677788572517,51.512964152058615,8
-0.13903589954179082,51.51302483316615,2
-0.1392090708429572,51.51302666924319,1
-0.1384269682272625,51.512830955585954,1
-0.13862404832996794,51.51288455445097,1
-0.13809569723899182,51.512526455018275,1
-0.1380345250407016,51.51246522570059,1
-0.13798351691751168,51.51242819517629,4
-0.13806482018260002,51.51241464368461,1
-0.13819373110820057,51.51250955300515,1
-0.13781763909243974,51.5123779629706,1
-0.13765583517285118,51.5124468777166,1
-0.13758421009953017,51.512491083801216,4
-0.13765026678923614,51.51237351721893,1
-0.13744964391137643,51.51233945927076,1
-0.13737591885428785,51.51236413696301,1
-0.13732714156946446,51.512318652685444,1
-0.13697985359112202,51.51254041267247,1
-0.13718042962068824,51.512648593620455,2
-0.13705221521377497,51.51269240373669,1
-0.1376952424881958,51.51295654272137,1
-0.1375329269133248,51.512764672071164,1
